%d Review(s),%d nhận xét
%s Review(s),%s nhận xét
(Posted on %s),(Viết vào %s)
1 star,1 sao
2 stars,2 sao
3 stars,3 sao
4 stars,4 sao
5 stars,5 sao
Add New Review,Thêm nhận xét mới
Add Your Review,Thêm nhận xét của bạn
Administrator,Quản trị
All Reviews,Tất cả nhận xét
All reviews of customer `%s`,Tất cả nhận xét của khách hàng `%s`
Allow guests to write reviews,Cho phép khách viết nhận xét
Are you sure you want to do this?,Bạn có chắc làm không?
Are you sure?,Bạn có chắc chắn?
"Average Customer Rating","Đánh giá trung bình của khách hàng"
"Average Customer Rating:","Đánh giá trung bình của khách hàng:"
Back,Quay lại
Back to Main Product Info,Quay lại thông tin sản phẩm chính
Back to My Reviews,Quay lại mục đánh giá của tôi
Back to Product Reviews,Quay lại mục nhận xét sản phẩm
Be the first to review this product,Hãy là người nhận xét sản phẩm này đầu tiên
Be the first to review this product 2,Hãy là người đầu tiên viết nhận xét
"Close","Đóng"
Created On,Tạo vào
Customer,Khách hàng
Customer Reviews,Nhận xét của khách hàng
Delete,Xoá
Delete Review,Xoá nhận xét
Detailed Rating,Chi tiết đánh giá
"Discussion Corner","Nhận xét của Khách Hàng"
Edit Review '%s',Sửa đánh giá '%s'
Guest,Khách
How do you rate this product ?,Bạn đánh giá sản phẩm này như thế nào?
How do you rate this product?,Bạn đánh giá sản phẩm này như thế nào?
ID,ID
Manage Ratings,Quản lý đánh giá
My Product Reviews,Sản phẩm tôi đánh giá
"My Recent Reviews","Đánh giá gần đây của tôi"
Name,Tên
Name In Store,Tên trong cửa hàng
New Review,Nhận xét mới
Nickname,Tên bạn
Pending Reviews,Nhận xét đang treo
Pending reviews,Nhận xét đang treo
Pending reviews of customer `%s`,Nhận xét đang treo của khách hàng `%s`
Please select a product,Lựa chọn 1 sản phẩm
Please select one of each of the ratings above,Lựa chọn một trong các đánh giá phía trên
"Post a comment","Gửi nhận xét"
Posted By,Gửi bởi
Price,Giá cả
Product,Sản phẩm
Product Name,Tên sản phẩm
"Product Rating","Đánh giá sản phẩm"
"Product Rating:","Đánh giá sản phẩm:"
Product Review (submitted on %s):,Nhận xét sản phẩm (Gửi vào %s):
Product Reviews,Nhận xét sản phẩm
Product SKU,SKU sản phẩm
Qty,Số lượng
Quality,Chất lượng
"Rating:","Đánh giá:"
"Read Review","Đọc nhận xét"
Review,Nhận xét
Review Details,Chi tiết nhận xét
Review by %s,Nhận xét bởi %s
Reviews and Ratings,Nhận xét và đánh giá
SKU,SKU
Save Review,Lưu nhận xét
"Send comments section","Phần gửi nhận xét"
"Send your comments about ""%s"" with others:","Gửi nhận xét của bạn về ""%s"" với mọi người:"
Status,Trạng thái
"Submit Review","Gửi nhận xét"
"Summary Rating","Tổng kết đánh giá"
"Summary of Review","Tổng kết đánh giá"
"Summary of Your Review","Tiêu đề"
"Summary of review","Tổng kết nhận xét"
"Title","Tiêu đề"
"Title your review:","Tiêu đề của nhận xét:"
"To write comment, please login or create a new account.","Để viết được nhận xét, vui lòng đăng nhập hay tạo tài khoản mới."
"Type","Loại"
"Unable to post review. Please, try again later.",Không thể gửi bài. Vui lòng gửi lại sau.
"Update status","Trạng thái cập nhật"
"Value","Giá trị"
"View all %s review","Xem tất cả %s nhận xét"
"View All Reviews","Xem tất cả các nhận xét"
"View Details","Xem chi tiết"
"Visible In","Hiển thị trong"
" vote"," nhận xét"
" votes"," nhận xét"
"Websites","Websites"
"Write Review","Viết nhận xét"
"write your comments below:","Viết nhận xét của bạn vào bên dưới:"
"Write Your Own Review","Viết nhận xét của bạn"
"You have submitted no reviews.","Bạn đã không gửi nhận xét."
"You're reviewing: %s","Bạn đang đánh giá: %s"
"You're reviewing:","Bạn đang đánh giá:"

"Your Rating:","Đánh giá của bạn:"
"Your Review (submitted on %s):","Đánh giá của bạn (Gửi vào %s):"
"Your reviews about this product:","Đánh giá của bạn về sản phẩm này:"
"Your review has been accepted for moderation.","Nhận xét của bạn đã được chấp nhận để duyệt."
#############################################################################
"Rating","Đánh giá"
"Comment by","Trả lời bởi"

