# of Uses,# of Uses
%s tag(s) have been accepted for moderation,%s tag(s) đã được chấp nhận để kiểm duyệt
Action,Action
Actions,Actions
Add New Tag,Thêm Tag mới
Add Tags,Thêm Tag
Add Your Tags:,Thêm Tag của bạn:
Add to Cart,Cho vào giỏ
Add to Wishlist,Thêm vào danh sách yêu thích
All Tags,All Tags
Approved,Approved
Are you sure that you want to delete this tag?,Bạn có chắc là muốn xoá Tag này?
Are you sure you want to delete this tag?,Bạn có chắc muốn xoá Tag này?
Are you sure you want to do this?,Bạn có chắc muốn làm việc này?
Are you sure?,Bạn có chắc không?
Back,Trở lại
Back to Tags List,Quay lại danh sách Tag
Back to view Tag,Quay lại để xem Tag
Block Information,Block Information
CSV,CSV
Change status,Change status
Click on a tag to view your corresponding products.,Nhấp chuột vào một từ khóa để xem các sản phẩm tương ứng.
Country,Country
Customer Since,Customer Since
Customers,Customers
Customers Tagged '%s',Customers Tagged '%s'
Delete,Delete
Delete Tag,Loại bỏ Tag
Disabled,Disabled
Edit Tag,Sửa Tag
Edit Tag '%s',Sửa Tag '%s'
Email,Email
First Name,First Name
General Information,General Information
Grid,Grid
ID,ID
Last Name,Last Name
List,List
My Recent Tags,Các Tag gần đây của tôi
My Tags,Các Tag của tôi
Name,Name
New Tag,Tag mới
No matches found.,Không có kết quả nào khớp.
Other people marked this product with these tags:,Sản phẩm này được đánh dấu bởi các Tag:
Pending,Đang treo
Pending Tags,Tag đang treo
Popular,Phổ biến
Popular Tags,Các Tag phổ biến
Popularity,Mức độ phổ biến
Price,Giá
Product Name,Tên sản phẩm
Product SKU,SKU sản phẩm
Product Tags,Tag sản phẩm
Products,Sản phẩm
Products Tagged with '%s',Sản phẩm có Tag '%s'
Products tagged with '%s',Sản phẩm có Tag '%s'
Products tagged with '%s' (<a href='%s'>RSS</a>),Sản phẩm có Tag '%s' (<a href='%s'>RSS</a>)
SKU,SKU
Save Tag,Lưu Tag
Search Results for '%s' (<a href='%s'>RSS</a>),Tìm kết quả cho '%s' (<a href='%s'>RSS</a>)
Search Terms,Tìm kiếm cụm từ
Status,Tình trạng
Tag,Tag
"Tag ""%s"" has already been added to the product","Tag ""%s"" đã được thêm cho sản phẩm này"
Tag Information,Thông tin Tag
Tag Name,Tên Tag
Tag Name: %s,Tên tag: %s
Tag can\'t be empty.,Tag không thể để trống.
Tagged in,Được Tag trong
Tags,Tags
Tags Aren't Available,Tags không hiện diện
Tags:,Tags:
Telephone,Telephone
Thank you. Your tag has been accepted for moderation.,Cảm ơn. Tag của bạn đã được chấp nhận để kiểm duyệt.
Unable to find any products tagged with '%s' in the current store,Không tìm thấy sản phẩm có tag '%s' trong kho hiện tại
"Unable to remove tag. Please, try again later.","Không thể loại bỏ Tag. Vui lòng thử lại sau."
Unable to save tag(s),Không thể sao lưu Tag(s)
"Unable to save your tag. Please, try again later.","Không thể sao lưu Tag. Vui lòng thử lại sau."
Use spaces to separate tags. Use single quotes (') for phrases.,Sử dụng khoảng trắng để phân cách các Tag. Sử dụng dấu ngoặc đơn (' ') cho các cụm từ.
Uses,Uses
View All Tags,View All Tags
View Customers,View Customers
View Products,View Products
Visible In,Visible In
XML,XML
You have not tagged any products yet.,Bạn chưa Tag sản phẩm nào cả.
Your tag was successfully deleted,Tag của bạn đã được xoá thành công
Your tag was successfully saved,Tag của bạn đã được lưu thành công
ZIP/Post Code,ZIP/Post Code
